"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Costa Rica","CRI","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.12","","","","","29.48","","","","","29.48","","","","29.48","","",
"South Asia (IFC classification)","CSA","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25004166666667","","","","","1.22827303754266","","","","","13.1638558400773","","","","","14.9665684279816","","","","","15.1843899607002","","","","15.1843899607003","","",
"Cuba","CUB","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.84","","","","","15.45","","","","","15.45","","","","15.45","","",
"Curacao","CUW","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","16.13","","","","","20.9","","","","","22.5","","","","","24.34","","","","","23.7","","","","","23.65","","","","","27.31","","","","10.33","","",
"Czech Republic","CZE","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.88","","","","","41.73","","","","41.73","","",
"Germany","DEU","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.83","","","","","13.82","","","","","15.88","","","","15.88","","",
"Djibouti","DJI","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5","","","","","","","","","","12.5","","","","","84.21","","","","","84.21","","","","84.21","","",
"Dominica","DMA","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.01","","","","","31.01","","","","","63.14","","","","","71.4","","","","58.48","","",
"Dominican Republic","DOM","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.98","","","","","33.86","","","","","33.86","","","","33.86","","",
"Algeria","DZA","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","22","","","","","","","","","","24.89","","","","","24.89","","","","","22.51","","","","","22.51","","","","22.51","","",
"East Asia & Pacific (developing only)","EAP","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","1.68017281335659","","","","","5.71918320051924","","","","","6.93747510522534","","","","","4.89566702630972","","","","","6.19871755011585","","","","","10.4561579428854","","","","10.4676148594235","","",
"East Asia & Pacific (all income levels)","EAS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","45","","","","","3.82415406486942","","","","","5.85669497268938","","","","","8.51465791732016","","","","","6.58699045431653","","","","","8.47557371409268","","","","","11.7090628897779","","","","11.715979462236","","",
"Europe & Central Asia (developing only)","ECA","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","15.33","","","","","13.89","","","","","","","","","","","","","","","14.3556881907502","","","","","7.74114586133812","","","","","9.55892713850104","","","","","10.143145970625","","","","10.1353263861511","","",
"Europe & Central Asia (all income levels)","ECS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","16.5489880836101","","","","","13.9138543455857","","","","","","","","","","","","","","","","","","","","11.6355146640116","","","","","15.1386050330226","","","","","15.6739633539583","","","","15.7900721849879","","",
"Ecuador","ECU","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.36","","","","","5.95","","","","","5.95","","","","5.95","","",
"Egypt, Arab Rep.","EGY","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.334","","","","","7.76","","","","","7.76","","","","7.76","","",
"Euro area","EMU","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","16.83","","","","","16.13","","","","","","","","","","","","","","","","","","","","13.8107339627715","","","","","15.7082763465877","","","","","16.6184249412059","","","","16.6762129397049","","",
"Eritrea","ERI","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.93","","","","","5.326","","","","5.326","","",
"Spain","ESP","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","","","","","","","","","12","","","","","14.93","","","","","17.74","","","","17.76","","",
"Estonia","EST","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7","","","","","4.856","","","","","3.007","","","","3.007","","",
