"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bermuda","BMU","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24","","","","","","","","","","1.24","","","","","2.027","","","","","2.027","","","","2.027","","",
"Brazil","BRA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","35.04","","","","","","","","","","54.87","","","","","59.3","","","","","58.07","","","","58.07","","",
"Barbados","BRB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0466","","","","","0.0609","","","","","0.0609","","","","0.0609","","",
"Brunei Darussalam","BRN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.076","","","","","0.092","","","","","0.092","","","","","0.092","","","","0.092","","",
"Bhutan","BTN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.338","","",
"Botswana","BWA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","","","","","0.113","","","","","0.1434","","","","","0.194","","","","","0.194","","","","0.194","","",
"Sub-Saharan Africa (IFC classification)","CAA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0668","","","","","0.0668","","","","0.0668","","",
"Canada","CAN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","","","","","","","","","","42.2","","","","","45.97","","","","","45.97","","","","45.97","","",
"East Asia and the Pacific (IFC classification)","CEA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","","","","","","","","","","3.2","","","","","2.614","","","","","2.614","","","","2.614","","",
